Recto,Verso,Commentaire,Source,Tags
"Traumatisme fermé chez un enfant de 3ans, suite à un AVP. Cliniquement, il a présenté une douleur à la palpation de l’épaule droite. Une radiographie a été faite. De quel type de lésion s’agit-il? [image]",Réponse Fracture en bois-vert médio-diaphysaire de la clavicule droite.,"La fracture de la clavicule est parmi les plus fréquentes des fractures de l’enfant. Elle est souvent isolée. Néanmoins, elle se rencontre fréquemment dans les polytraumatismes où elle doit être systématiquement recherchée. Les fractures du tiers moyen sont de loin les plus fréquentes. Elles sont suivies par les fractures du tiers externe. Ensuite, viennent en dernier les fractures du tiers interne .. fig2 : schéma de fréquence des fractures de la clavicule selon leurs sièges",Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning ClinicalReasoning Imaging Mechanism::AVP Orthopedics Pediatrics Region::Epaule Topic::BoisVert Topic::Clavicule Traumatology UpperExtremity
"Traumatisme fermé chez un enfant de 3ans, suite à un AVP. Cliniquement, il a présenté une douleur à la palpation de l’épaule droite. Une radiographie a été faite. Quelle attitude préconisez-vous dans ce type de fracture?",Réponse Une immobilisation par anneau claviculaire.,"Le traitement des fractures de la clavicule se fait comme suit: Fractures de la diaphyse de la clavicule: Le traitement est dans l’immense majorité des cas un traitement orthopédique avec contention par anneaux en 8 pour une durée de 3 à 4 semaines. Le traitement chirurgical est exceptionnellement indiqué en cas de complications vasculo-nerveuses ou de menace d’ouverture cutané. Fractures du quart externe de la clavicule: Le traitement est dans la grande majorité des cas orthopédique par contention par des anneaux en 8 associée à un bandage par élastoplaste en pont sur l’épaule ( abaissement du 1/4 externe) pour une durée de 3 à 4 semaines. Lésions internes de la clavicule: En cas de lésion à déplacement antérieur, le traitement consiste le plus souvent en une immobilisation du membre supérieur par une simple écharpe pour une durée de 3 semaines. En cas de lésion à déplacement postérieur, il peut être nécessaire de réduire le déplacement sous anesthésie générale et d’assurer une stabilisation chirurgicale.",Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning Complications Mechanism::AVP NonOperativeManagement Orthopedics Pediatrics Region::Epaule SurgicalManagement Topic::BoisVert Topic::Clavicule Topic::FractureOuverte Traumatology UpperExtremity
"Traumatisme fermé chez un enfant de 3ans, suite à un AVP. Cliniquement, il a présenté une douleur à la palpation de l’épaule droite. Une radiographie a été faite. Que faut-il expliquer aux parents?","Réponse La mise en place des anneaux et la position recherchée en rétro-pulsion de l’épaule. Des anneaux lâches sont inefficaces. L’anneau ne doit pas être compressif. Aviser les parents de consulter en urgence en cas de fourmillements ou de paresthésies des doigts. Les cals vicieux sont fréquents avec persistance d'une saillie plus ou moins visible et d'un raccourcissement. Dans la plupart des cas, il n’y a aucun retentissement fonctionnel et seul peut exister un cal inesthétique.","Chez l'enfant jeune ou turbulent, on peut utiliser le procédé de PICCHIO qui consiste à plaquer le bras au thorax par un simple élastoplaste collé derrière le thorax (ne pas omettre un petit coussinet de coton dans l'aisselle). On peut compléter l'immobilisation du foyer de fracture par un coussinet collé en avant des fragments . fig3: schéma d’immobilisation selon le procédé de PICCHIO",Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning Mechanism::AVP NonOperativeManagement Orthopedics Pediatrics Region::Epaule SurgicalManagement Topic::BoisVert Topic::Clavicule Traumatology UpperExtremity
"Traumatisme fermé de l’épaule droite, chez un enfant de 14ans, suite à une chute de sport. L’examen a trouvé une douleur au niveau de la clavicule, avec palpation de l’os sous la peau. Quel imagerie demandez-vous?",Réponse Une radiographie de l’épaule droite de face et de profil,Certaines fractures peuvent être difficiles à voir et nécessitent parfois de multiplier les incidences pour dérouler la clavicule (incidences ascendantes et obliques). .,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning Imaging Mechanism::Chute Mechanism::Sport Orthopedics Pediatrics Region::Epaule Topic::Clavicule Traumatology UpperExtremity
"Traumatisme fermé de l’épaule droite, chez un enfant de 14ans, suite à une chute de sport. L’examen a trouvé une douleur au niveau de la clavicule, avec palpation de l’os sous la peau. Quel est votre diagnostic? [image]",Réponse Fracture médio-diaphysaire déplacée de la clavicule droite avec menace de la peau. [image],,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning ClinicalReasoning Imaging Mechanism::Chute Mechanism::Sport Orthopedics Pediatrics Region::Epaule Topic::Clavicule Traumatology UpperExtremity
"Traumatisme fermé de l’épaule droite, chez un enfant de 14ans, suite à une chute de sport. L’examen a trouvé une douleur au niveau de la clavicule, avec palpation de l’os sous la peau. Quelle attitude préconisez-vous pour cette lésion?","Réponse Vu le risque d’ouverture cutanée secondaire, une réduction chirurgicale avec embrochage a été proposée . [image]","Le traitement chirurgical des fractures de la clavicule est indiqué en cas de: menace d’ouverture cutanée lésion de l’artère et/ou de la veine sous clavière, d’atteinte du plexus brachial ou du dôme pleural, subluxation acromio-claviculaire.",Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning Complications Mechanism::Chute Mechanism::Sport Orthopedics Pediatrics Region::Epaule SurgicalManagement Topic::Clavicule Topic::FractureOuverte Traumatology UpperExtremity
"Suite à un AVP, un enfant de 13 ans a présenté un traumatisme fermé de l’épaule gauche. L’examen clinique a objectivé une impotence fonctionnelle totale et une déformation de l’épaule. L’examen vasculo-nerveux a été sans anomalie. La radiographie de l’épaule gauche faite, a montré: Interpréter la radiographie [image]",Réponse Fracture décollement épiphysaire stade I de SALTER et HARRIS de l’extrémité supérieure de l’humérus gauche avec déplacement secondaire.,"Les fractures de l’extrémité supérieure de l’humérus sont très fréquentes. Leur diagnostic clinique se fait par la mise en évidence de l’impotence fonctionnelle et de la déformation du moignon de l’épaule. Les fractures-décollements épiphysaires les plus fréquentes sont: ➢ les décollement purs du cartilage de croissance (Type I de SALTER et HARRIS), ➢ les décollements impurs associés à une fracture métaphysaire (type II).",Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning ClinicalReasoning GrowthPlate Imaging Mechanism::AVP NonOperativeManagement Orthopedics Pediatrics Region::Epaule SalterHarris Topic::DecollementEpiphysaire Traumatology UpperExtremity
"Suite à un AVP, un enfant de 13 ans a présenté un traumatisme fermé de l’épaule gauche. L’examen clinique a objectivé une impotence fonctionnelle totale et une déformation de l’épaule. L’examen vasculo-nerveux a été sans anomalie. La radiographie de l’épaule gauche faite, a montré: Citez les différents types de décollement épiphysaire décrits par SALTER et HARRIS ?",Réponse La classification des décollements épiphysaires selon SALTER et HARRIS : type I: décollement épiphysaire pur type II: décollement épiphysaire avec fracture métaphysaire type III: décollement-fracture épiphysaire type IV: fracture épiphysio-métaphysaire type V: écrasement du cartilage de croissance fig2: image illustrant les stades des décollements épiphysaires de l'humérus selon SALTER et HARRIS [image],,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning GrowthPlate Mechanism::AVP Orthopedics Pediatrics Region::Epaule SalterHarris Topic::DecollementEpiphysaire Traumatology UpperExtremity
"Suite à un AVP, un enfant de 13 ans a présenté un traumatisme fermé de l’épaule gauche. L’examen clinique a objectivé une impotence fonctionnelle totale et une déformation de l’épaule. L’examen vasculo-nerveux a été sans anomalie. La radiographie de l’épaule gauche faite, a montré: Quel traitement proposez-vous?",Réponse Une réduction orthopédique de la fracture et stabilisation par un embrochage centro-médullaire élastique stable ou embrochage fasciculé . fig3: embrochage fasciculé percutané [image],"L’ostéomyélite pubienne pose des problèmes de diagnostic à cause de la variabilité des signes cliniques. Son diagnostic passe par un examen clinique soigneux de la région du bassin et une demande appropriée des examens complémentaires. Un syndrome inflammatoire biologique est souvent retrouvé, avec une hyperleucocytose, une augmentation de la vitesse de sédimentation et un taux élevé de la CRP. La radiographie standard , au début, est souvent normale. Les anomalies radiologiques initiales, telles que les images lytiques, posent un problème de diagnostic différentiel avec des lésions tumorales. Ces lésions radiologiques apparaissent au cours de l’évolution d’une ostéomyélite méconnue et le plus souvent non traitée. Tardivement, des remaniements ou des lésions sclérogéodiques apparaissent. L’échographie permet d’explorer de manière précoce et comparative les différentes facettes osseuses pelviennes à la recherche d’un abcès sous-périosté ou rompu dans les parties molles. La scintigraphie osseuse fournit des signes précoces, en montrant une hyperfixation, cependant inconstante et non spécifique, peut orienter le diagnostic mais elle ne peut ni infirmer ni confirmer la présence d’une collection purulente.",Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning ClinicalReasoning GrowthPlate Imaging Mechanism::AVP NonOperativeManagement Orthopedics Pediatrics Region::Epaule SalterHarris SurgicalManagement Topic::DecollementEpiphysaire Topic::Toddler Traumatology UpperExtremity
"Fille de 7ans, présentant un traumatisme fermé de l’épaule gauche, suite à une chute des escaliers. L’examen clinique a trouvé une douleur exquise à la palpation de l’épaule, une limitation douloureuse de la mobilisation et une absence de troubles vasculo-nerveux. La radiographie a montré: Quel est votre diagnostic? [image]",Réponse Décollement épiphysaire stade II de SALTER et HARRIS de l’extrémité supérieure de l’humérus gauche avec déplacement important.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning ClinicalReasoning GrowthPlate Imaging Mechanism::Chute Orthopedics Pediatrics Region::Epaule SalterHarris Topic::DecollementEpiphysaire Traumatology UpperExtremity
"Fille de 7ans, présentant un traumatisme fermé de l’épaule gauche, suite à une chute des escaliers. L’examen clinique a trouvé une douleur exquise à la palpation de l’épaule, une limitation douloureuse de la mobilisation et une absence de troubles vasculo-nerveux. La radiographie a montré: Quelle classification peut-on utiliser pour juger le déplacement?","Réponse L’importance de l’angulation et de la translation permet de classer la fracture, en tenant compte de l’angulation maximum mesurée sur les clichés de face et de profil. Celle-ci est représenté par l’angle entre l’axe diaphysaire et la perpendiculaire au cartilage de croissance . Type 1: angulation < 20° et une translation < 50% Type 2: 20° < angulation < 40° ou translation > 50% Type 3: angulation > 40° ou translation totale [image]",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning GrowthPlate Mechanism::Chute Orthopedics Pediatrics Region::Epaule SalterHarris Topic::DecollementEpiphysaire Traumatology UpperExtremity
"Fille de 7ans, présentant un traumatisme fermé de l’épaule gauche, suite à une chute des escaliers. L’examen clinique a trouvé une douleur exquise à la palpation de l’épaule, une limitation douloureuse de la mobilisation et une absence de troubles vasculo-nerveux. La radiographie a montré: Quelle complication nerveuse faut-il craindre? Comment la rechercher?",Réponse La complication à craindre est la lésion du nerf axillaire. Elle est recherchée en testant la sensibilité du moignon de l’épaule.,"Dès que le diagnostic est fait, il faut rechercher les complications possibles : vasculaires : lésions des vaisseaux axillaires (pouls) nerveuses : lésions du plexus brachial, du nerf circonflexe, du radial cutanées : l'ouverture est rare musculaires : deltoïde, tendon du biceps, interposition dans la fracture empêchant la réduction et justifiant une réduction chirurgicale.",Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning ClinicalReasoning Complications GrowthPlate Mechanism::Chute Orthopedics Pediatrics Region::Epaule SalterHarris SurgicalManagement Topic::DecollementEpiphysaire Topic::Neurovasculaire Traumatology UpperExtremity
"Fille de 7ans, présentant un traumatisme fermé de l’épaule gauche, suite à une chute des escaliers. L’examen clinique a trouvé une douleur exquise à la palpation de l’épaule, une limitation douloureuse de la mobilisation et une absence de troubles vasculo-nerveux. La radiographie a montré: Quelle est votre conduite thérapeutique?",Réponse Réduction orthopédique sous anesthésie générale et stabilisation par un embrochage percutané fasciculé en palmier . [image],"Traitement des fractures-décollements épiphysaires: ➢ la majorité des fracture-décollements épiphysaires de l’extrémité supérieure de l’humérus relèvent d’un traitement orthopédique, ➢ les fractures-décollement épiphysaires de type I non déplacées ou avec un déplacement minime sont immobilisés coude au corps, sans réduction, par un simple bandage ou un Gerdy platré. Une immobilisation de 3 semaines est suffisante, relayée par une simple écharpe pour encore 3 semaines. ➢ Pour le type II ou III: à partir de 20° d'angulation, la réduction devient nécessaire et sera associée à une immobilisation plâtrée, coude au corps, si la fracture est stable. Pour les fractures instables, il est préférable de réaliser un embrochage centro-médullaire élastique stable (ECMES) ou fasciculé; à foyer fermé. ➢ l’embrochage centro-médullaire élastique stable (ECMES) est une technique d’ostéosynthèse adaptée aux fractures diaphysaires de l’enfant et de l’adolescent. La technique chirurgicale utilise deux broches en acier ou en titane dont le diamètre est égale à 40% du diamètre médullaire. Ces deux broches béquillées et cintrées sont disposées en double arc sécant à l’intérieur du fût médullaire de façon à assurer une stabilité de la réduction obtenue. ➢ L’embrochage fasciculé, décrit par Hackethal en 1961, s’applique parfaitement aux fractures humérales. Cette technique stabilise l’humérus grâce à un contact interfragmentaire étroit, l’autoblocage mutuel d’un nombre maximal de broches cendomédullaires, leur divergence métaphyso-épiphysaire proximale dans l’os spongieux céphalique et l’obstruction de la fenêtre d’entrée corticale distale. ➢ Certaines fractures-décollements épiphysaires très déplacées peuvent faire l’objet d’une réduction chirurgicale.",Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning GrowthPlate Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Epaule SalterHarris SurgicalManagement Topic::DecollementEpiphysaire Traumatology UpperExtremity
"Traumatisme fermé de l’épaule gauche, chez un enfant de 13 ans, suite à une chute lors d’un jeu. L’examen a trouvé un œdème important de l’épaule, une douleur exquise à la palpation de l’extrémité supérieure de l’humérus et une absence de troubles vasculo-nerveux. La radiographie faite, a montré: Quel est votre diagnostic? [image]",Réponse Fracture métaphysaire légérement déplacé de l’extrémité supérieure de l’humérus gauche.,Les fractures métaphysaires dépassent largement les fractures épiphysaires avec un pourcentage de 77%. Elles siègent sur la métaphyse et respectent le cartilage de croissance. Elles sont rarement métaphyso-diaphysaire. Le trait est transversal ou oblique court.,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning ClinicalReasoning GrowthPlate Imaging Mechanism::Chute Mechanism::Sport Orthopedics Pediatrics Region::Epaule SalterHarris Topic::DecollementEpiphysaire Traumatology UpperExtremity
